,hikename,report,index
0,Aasgard Pass — Washington Trails Association,"
Finally the day came when I decided to pull the trigger on this bad boy.  Having hiked and backpacked from sea to summit in nearly all the heavy hitters this beautiful state has to offer – I finally seized my opportunity to experience the fabled Enchantments.  To say this area has a lot to live up to is an understatement.  Here’s how it played out:
With September now upon us the decreased crowds bugs and heat granted me the increased motivation to make the 2.5 hour drive from Puget Sound.  Once you hit the gravel road it’s pretty rough the first couple of miles…had to slow down to about 5 a few times but after that easily cruised at 30 with no pot hole worries.  Passed a campground and cringed when I saw the “Full” sign displayed.  With the insane popularity of this trail I was hoping for somewhat of a wilderness experience heading out early on a Thursday morning.  However after seeing the sign I had my doubts.
Arrived at the trailhead ~8AM and headed toward the pass.  Lots of empty parking spots and didn’t see a soul until the 2 mile mark (nice!).  A very dry (east of the Cascades) and dusty trail gave way to rambling rivers massive granite and beautiful mountain views.  Arrived at Colchuck Lake just after 1.5 hours and about 4 miles into it with one brief stop to grab a drink.  What a lake – reminded me of Emerald and Louis Lakes in the Canadian Rockies minus the commercialization and massive crowds.
This is where the trail gets rough only gets harder and was wishing I wore my hiking boots and not trail runners.  Trail is easy to follow but lots of boulder hopping and extremely rocky terrain from here on out.  Got to the base of Aasgard and worked my way left of the large Larch Grove in the center of mountain side.  Extremely steep elevation gain.  Insanely rocky trail that involves scree mid-size rocks and a couple points of using all fours to climb up larger boulders – simply put it kicked my a**.  The best thing I can compare this beast to is the St. Helens walk up climb.
Reached the Enchantments just before the 5 hour mark clocking in 6.3 miles and 4551 feet of elevation gain.  The terrain reminded me of the Sierra Nevada’s in Cali.  Beautiful but I was a little bummed with all the work I just put in that I didn’t feel like I was transported to another planet as many had claimed.  I have no doubt the views only get better as you traverse the Core Enchantment area but after about ¼ mile into it I decided to turn back and make my way down feeling as if a backpack or thru hike of the area may not be warranted - at least until I checked a few other backpacks off my list.
Final stats read 12.43 miles 4706 feet elevation gain at just over 9 hours.  Only break was a brief 15 minute bite to eat.  Passed well over a dozen parties on my way down doing overnighters at the lake combined with the campers already there I figured it would be too crowded for my liking.  My ankles were destroyed right knee in pain – never fell but slid a few times on some loose scree down the pass.  I can definitely say I will not be back to do Aasgard as an out and back anytime soon.  I think my pace was too quick and would recommend taking more breaks and stretching this one out to 12 hours or so.  Happy trails.
",0
1,Alger Alp (South Route) — Washington Trails Association,"
Not suitable for dogs over the age of 10. I have a border collie and you would think that because they are so high energy that this hike would be good. But she also has arthritis so it was hard for her. 
I did this hike in the rain which is fine but it was a long hike in the rain. And there are no signs really that tell you where to go or how far along you are or are you heading in the right direction. I definitely got lost multiple times by taking different routes because I wasn't sure where I was going. 
The view was okay but it was foggy. So I'm sure on a sunny day it would've looked great. 
",1
2,Alta Mountain — Washington Trails Association,"
Hike before Rachel lake is steep for one mile before and after the lake but then becomes not that bad till you reach the summit (multiple false summits).
Huckleberries starting to ripe but it will get better in a week or two. There was a marmot just after split to lila lake which was really agitated by presence of someone's dog while they descended. The whistles made by the marmot were sharp and intense for almost 20 minutes so it was kind of alarming. It mellowed down to normal whistle of marmot that you hear while hiking.
There are bunch of false summit and hike becomes bit exposed at the ridge so you have to be careful and may need to scramble to reach the summit. Great sweeping views from the top. Totally worth the steep incline. Mount stuart Mt Adams visible at a distance but Mt Ranier had a cloud hat on it.
Reached trailhead around 8:30am and parking lot was almost full but while i came back it was all almost empty around 3pm because people from backpacking might have left.
So many options to extend the hike to Lila lake or Rampart Lakes but it starting to get cloudier and starting drizzling as well at one point so came back from Rachel lake.



,
On a scouting hike for an upcoming Lila Lake backpack and I decided to take a slight detour to the top of Alta Mountain. Absolutely stunning views in all directions from the summit well worth the slightly challenging trail.
",2
3,Ancient Lakes — Washington Trails Association,"
Work obligations kept me in town for most of the weekend but by Sunday afternoon I was free for a little adventure. After doing a little research on desert hikes and rattlesnakes I decided we would have time for a quick overnight trip to Ancient Lakes. 
It was still hot when we got to the TH but a nice breeze made for a quick comfortable hike. We set up camp as the sun started to set. The cliffs and sky changed colors many times. I’m no expert but I think Mars was our first celestial sighting. It was stargazer’s paradise with the milkyway shining bright satellites and shooting stars. 
The only sounds we heard were frogs waterfalls and wind. Such a special night! We slept without our rain fly. At times the most fabulous warm wind would gust through. We saw fresh evidence of coyotes but never saw or heard them. 
Woke up at 5:30 and watched the sky change again as the sun came up. After taking a million pictures went back to sleep until the sun shined bright turning the tent into an oven. The morning sun woke up the yellow jackets too. We quickly made breakfast and packed up camp.  After exploring the area around the lakes and waterfalls we headed back to the car.  We pushed through tall grass and sage brush.  Enjoyed the flowers blooming by the lake.  I’ve been calling it a parasitic miracle that we’re not infested with ticks.  I guess those layers of bug spray did the trick.  
I left the dogs home for this one. I was afraid of snakes ticks and overheating.  We had none of those troubles but I’m glad they stayed home. 
We knew it would have worse traffic but decided to take hiway 2 anyway. It was a beautiful drive through the orchards and many fruit stands to choose from. Took an hour to get from Gold Bar to Start Up. I was just grateful the backup didn’t start in Index. 
We made it back home exactly 24 hours after we left. It was a perfect adventure. 
",3
4,Anderson and Watson Lakes — Washington Trails Association,"
My wife and I with our pack dog Max went on our annual September midweek overnight this year to Lower Anderson Lake. The road to the trail head crosses the amazingly tall narrow Baker Lake dam then gains 3600' in 12 miles very steep and a bit rough near the end.
The trail starts out easy and smooth with nice boardwalks and bridges (one broken by a down tree) through beautiful old growth forest and a charming meadow. An abundance of tasty blueberries everywhere but few wildflowers left in September. The trail gently climbs 600' then loses 400' down to the lake quite rocky with a couple tricky spots for those with weak knees and a little steep coming back out only 2 miles each way.
Skies were clear when we left home but smoke from Twisp area forest fires drifted in irritating our breathing and hazing up the otherwise awesome views.  I saw the smoke forecasts but I didn't realize how much it would affect us. The wonderful smells of the mountains are one reason we normally love backpacking.
I counted 8 campsites at Anderson Lake plus many flat potential tent areas. The more private sites are below the outlet and above the rock pile. Only one had a tree for shade but we chose one completely out in the open which had the most awesome view of Mt. Baker. There's a toilet off the trail before the outlet. Had the lake all to ourselves Tuesday night so it was nice and quiet.  Great view of the stars but very cold at night.
Only saw a few bugs and they didn't bother us. Even in late summer the inlet was a clear babbling creek with good flow. Went for a refreshing swim off the rock slide at the far end where there's a spot deep enough to dive in. Saw fish jumping.
We'd planned on staying 2 nights but Wednesday afternoon realized we'd had too much sun and smoke and decided to head out.



,
First you gotta wanna do this hike it's a long drive in even after you cross Baker dam. The road itself is a steep and windy 10 miles with some deep potholes in places and gullies in others. Nevertheless there was wait for it ( nope not a Prius) a MINICOOPER at the TH. The thing must have 2"" of clearance hats off to the driver! It has been so dry that the usual welcoming commitee of mosquitoes at this TH were nowhere to be found. We did not miss the greeting. The trail itself is a nice easy to follow trail. There is one large log that fell across one of the puncheon bridge and took out the whole middle section. You just have to walk down and up no biggie with it so dry. There are 2 blowdowns on the first hill as you climb out of the meadow easily hopped over. The biggest problem with this trail is when you get to Lower Watson there are so many social trails it is hard to know which one to stay on to keep your impact to a minimun. This area could benefit from a bit of directional trailwork. Also the backcountry loo is gone the sign is there but the hole has been filled in and the potty seat dismantled. Prepare to dig your cathole and PACK OUT YOUR TP! The berries are ripe and there are plenty for you and the bears. If you are overnighting it would be worth it to bring in some pancake mix and a small frying pan for sure! We picked a Nalgene full in about 30 minutes. Even on a weekday there were 3-4 groups camped overnight so you can see this is a heavily used area pls practice LNT! We only had to pack out someones orange peels so not bad today. Remember they don't decompose for years!  We did not go down to Anderson Lake or the lookout site this time.
",4
5,Annette Lake — Washington Trails Association,"
My dog Dusty and I reached the Annette Lake parking area around 7:45am. Only 2 cars in lot. Beautiful early fall day for a hike. Going up ran into no hikers. At lake saw 1 set of hikers. Heading down from Annette Lake ran into 24 people making the hike up. Did not require hiking poles on the way up but on way down used hiking poles for my creaky old knees. Took about 4 hours round trip with 15-minute stop at the lake. Dusty and I walk slow.
,
My dog Dusty and I reached the Annette Lake parking area around 7:45am. Only 2 cars in lot. Beautiful early fall day for a hike. Going up ran into no hikers. At lake saw 1 set of hikers. Heading down from Annette Lake ran into 24 people making the hike up. Did not require hiking poles on the way up but on way down used hiking poles for my creaky old knees. Took about 4 hours round trip with 15-minute stop at the lake. Dusty and I walk slow.
,
Nice little hike with a pretty lake. Took 1 hour 45 to go up and 1 hour 30 to get down. Saw no one on the way up at 8:45am when we left but about 20 people on the way down. Hung around the lake for a while and was a chipmunk.
,
I’ve been disappointed by this hike before but am glad I gave it a second go. The first time was on a hot summer Sunday. It was extremely crowded with no place left to sit at the lake and many people were blaring music on the trail. Not my cup of tea. I decided to hike last minute this afternoon and chose Annette lake again due to its close proximity to Seattle. There were only a few people on the trail and the weather was bright and crisp. My pup and I arrived at the lake at 3.45pm and had it all to ourselves! It was a lot more serene and beautiful this time. Thus I only recommend doing this hike if you’re lucky enough to have a day off during the week. Even better during the off season. Note you can hear the din of the highway for about 3/4 of the hike but thankfully not at the lake.
,
On Plan Change #3 or 4 for my weekend hiking I finally landed at the Annette Lake Trailhead with my little one as well as a dear friend and her tweenage son and little one. Weather forecast looked less than ideal to backpack Lake Ingalls and time was not on our side to day hike Lake Ingalls either considering our departure together from Bellevue around 1:30 pl or so. The Snow Lake Trailhead was clobbered with people turning off even the tweenager. Annette’s Trailhead parking area showed some promise of a less crowded experience so we went for it.We started off pleasantly with letting the Littles hikes and explore the Asahel Curtis trail which is right there along the creek at the Trailhead. What’s cuter than two twinsie bestie toddler girls ambling along and crossings bridges and being wowed by tumbling creeks while using mamas collapsed hiking poles? But then: This was a challenging hike with this crew. My little one zoomed into meltdown mode at 3 pm and continued for the first full hour in the backpack. This absolutely took a toll on my back which I felt especially the next day. I am proud of myself for not turning back and just calling it a day. After this much time was spent navigating the tweenager’s very vocal concerns: how far have we come? Should we turn around? What if it gets dark? Will we ever make it to the lake? Another switchback?!? Can’t we just go home? I want pizza. My knee hurts. My ankle hurts. I’m hungry. Why did we have to come here anyway. How do you even know where we are? (My efforts to coach him on using a topi nap effectively were not successful.)After 3 hours of all this we did actually make it to the lake. It took us 2 hours to hike down and I’m glad we had enough artificial light. Sources and warm layers for everyone. Hats gloves coats tall socks and even instant hand warmers all went to good use on this cool misty afternoon and evening hike.We got back to the Trailhead and our car just before the skies opened up with dumping rain and just before a true dark sky. And then my hiking companions actually thanked me for pushing them and making it all the way up to the lake!25# 20 months old toddler Osprey Poco Cartier loaded with lots of water and other essentials to a total of perhaps 35-40# guessing. I’m definitely planning to leave my heavy 32 oz hydro flask in the car next time.
,
Drizzly and damp but that fall feeling is back! This was my first time hiking to Annette Lake and you could really feel that it is about to truly be autumn on the trails. The trails were a little muddy due to the rain but that's what we should all start to be expecting this time of the year. It was raining consistently on my way up to the lake and I got a break in the rain as I sat by the lake for lunch and the rain returned to a light drizzle on my way down. My entire trip was just under 4 hours total with taking about a half an hour to enjoy the views at the lake. The middle third or so of this hike on the way up really gets your heart rate up without feeling extremely strenuous. All in all this is now one of my favorite hikes with the lake views amazing trees and moss-covered rocks along with being a good length and putting in a good amount of effort forward to get to hang around a beautiful alpine lake! 
,
Chance of rain and low ceiling today so opted to stay low and hike this trail. Left trail head at 12 noon.  Even at this late time lot still had room for more cars.  Temps in the high 50s.  Trail in good shape; looks like some work has been done recently. thank you.  Other parts of the trail further in  seemed rougher than last time i hiked two years ago.  In places more roots and rocks exposed with soil scrapped off presumably due to heavier traffic.  Damp in some places because of rain last night but not an issue. No bugs.  Lake is lower than I've ever seen before but it is late in the season so that may be normal.  Because of late start I met more people coming down the trail on my way up than I did coming up the trail on my way down.  There were a lot of dogs some off-leash but for the most part well behaved.  All in all a good day hike.
,
Great day for a hike in the mountains.  Getting to the parking lot was super easy.  A few potholes but they were easy to avoid.  There is a toilet at the lot (and someone living in a camper).  Got there about 9 and there were only two groups ahead of us on the trail.  The trail was in great condition but is a rocky trail with a lot of roots poles would have been nice on the way down like another post recommended.   3 1/2 up and down which included about 15-20 min at the top taking pictures.   
,
An amazing hike! We arrived at 10am with only 5-6 cars in the parking lot. It took us about 2 hours to get to the lake and 1.5 hours to come down. It was relatively quiet going up but experienced a little more traffic coming down. There were some bugs (several moths and some bees) but there weren’t any mosquitos around. We also took a short swim in the lake and it was pretty chilly but a great dip! 
,
Loved hiking up to Annette Lake with my dog today. Trail is in great condition but I wish I had trekking poles as this would have made the journey much easier coming down over the roots and rocks. It took us 2 hours up and 1.5 hours down. The lake was beautiful and not crowded although right as I was leaving someone started flying a drone ugh. :(
Perfect length for a day hike and the proximity to Seattle can't be beat! Definitely will do it again. 
,
Beautiful late afternoon hike to the lake. There were plenty of parking spots and it looked like a lot of people were going up to the lake to camp. The trail itself is rocky and has a lot of roots - sturdy hiking shoes are helpful. There were no bugs at the lake. The lake is a beautiful color. Sat there for about an hour and enjoyed a snack. Plenty of people were swimming and enjoying the warm weather. It is easy to get around the lake and find a perfect spot to relax! Happy trails! ☀️🌲
",5
6,Anti-Aircraft Peak — Washington Trails Association,"
Didn't want to drive too far so did this hike on Cougar Mountain.  Turned out to be a very peasant walk in the woods with almost nobody else on the trail.
,
Didn't want to drive too far so did this hike on Cougar Mountain.  Turned out to be a very peasant walk in the woods with almost nobody else on the trail.
",6
7,Ape Caves — Washington Trails Association,"
After thinking about it for a couple of days I'm editing my report. I left the original below. Myself being a little older person and having walked both the lower and upper caves I wanted to address older people who might be doing the upper caves and not realize the difficulty of their decision. The walls and ceiling of both upper and lower are exactly the same the only difference is; the lower has no obstacles and is only 3/4 of a mile long. Beautiful in its own. The upper is twice as long and nothing but brutal rock piles and hard to enjoy the side and ceiling while stumbling with every step. I would encourage any older person to enjoy the lower and not think they are missing out on the upper!
Started the upper cave before 8am had the whole area to ourselves for several hours. Great day exploring and hiking with the family and friends. Being an older person I needed a little help in places. The wall was a challenge but we planned ahead and brought a rope. The boys pulled me up while I climbed LOL if you can call it climbing. Thank you boys. Don't let this discourage you take your time bring knee pads wear sturdy boots and bring gloves. We did our research about the caves before hand and had lots to talk about while walking in the cave. Bring good lights and look up the ceiling is where you want to be looking. On the way back to the parking lot the Park Rangers had their tent and booth out talking to people about the caves. The Park Ranges do a great job! Thank you Park Rangers! 
",7
8,Artist Ridge - Huntoon Point — Washington Trails Association,"
We got to the Artist Point parking lot right at sunrise and decided to do this trail as a warm-up for our long run/hike. It was gorgeous! I want to come back in the late afternoon or evening for better lighting on Shuksan with the tarns though. 
",8
9,"Badger Valley, Moose Lake, Grand Valley — Washington Trails Association","
It was a rainy and cold day and the Grand Valley was on my bucket list of places to hike before the road is closed for the season. 
Overall a lovely hike with no crowds which made it perfect. I went clockwise from the TH down through Badger Valley Grand Lake Moose Lake and then back up. 
The weather was all over the place. Fog and rain until I got to Grand Lake. Snow (up to 6"") on the Grand Pass Trail. Cold (low 30s) throughout.
Animal encounters: A bunch of deer near the Grand Pass and Grand Lake Trail intersection. There was also a black bear hanging around Moose Lake (he can be seen in the last picture).
",9
